date_secu,time_secu,transaction_id,user_id,ip_address,resultado_validación,motivo_fallo,modulo,verificaciones_realizadas
13/05/2025,08:00:00 a. m.,txn-0000,user65,198.81.20.19,Aprobada,,mobile,frecuencia
13/05/2025,08:00:01 a. m.,txn-0001,user94,92.100.49.61,Aprobada,,mobile,"token,frecuencia,geolocalización"
13/05/2025,08:00:02 a. m.,txn-0002,user93,35.10.214.169,Aprobada,,mobile,"geolocalización,token,blacklist"
13/05/2025,08:00:03 a. m.,txn-0003,user39,155.165.170.170,Aprobada,,api,"blacklist,geolocalización,frecuencia"
13/05/2025,08:00:04 a. m.,txn-0004,user88,137.102.49.12,Aprobada,,mobile,geolocalización
13/05/2025,08:00:05 a. m.,txn-0005,user92,125.126.156.72,Aprobada,,mobile,token
13/05/2025,08:00:06 a. m.,txn-0006,user37,183.205.52.219,Aprobada,,mobile,"token,blacklist,geolocalización"
13/05/2025,08:00:07 a. m.,txn-0007,user49,26.46.150.120,Aprobada,,mobile,blacklist
13/05/2025,08:00:08 a. m.,txn-0008,user34,180.91.122.212,Aprobada,,mobile,geolocalización
13/05/2025,08:00:09 a. m.,txn-0009,user58,208.65.106.126,Aprobada,,api,"frecuencia,token,blacklist"
13/05/2025,08:00:10 a. m.,txn-0010,user40,176.10.163.171,Aprobada,,mobile,"blacklist,frecuencia,token"
13/05/2025,08:00:11 a. m.,txn-0011,user2,184.94.171.22,Aprobada,,mobile,"blacklist,token,frecuencia"
13/05/2025,08:00:12 a. m.,txn-0012,user59,213.39.242.242,Aprobada,,web,blacklist
13/05/2025,08:00:13 a. m.,txn-0013,user24,25.227.129.2,Aprobada,,mobile,"frecuencia,blacklist"
13/05/2025,08:00:14 a. m.,txn-0014,user6,59.141.177.122,Aprobada,,web,"token,blacklist"
13/05/2025,08:00:15 a. m.,txn-0015,user32,91.135.65.36,Aprobada,,mobile,"frecuencia,token"
13/05/2025,08:00:16 a. m.,txn-0016,user82,207.24.6.89,Aprobada,,mobile,geolocalización
13/05/2025,08:00:17 a. m.,txn-0017,user84,215.137.98.25,Aprobada,,web,token
13/05/2025,08:00:18 a. m.,txn-0018,user76,80.28.145.241,Aprobada,,mobile,geolocalización
13/05/2025,08:00:19 a. m.,txn-0019,user55,81.135.177.30,Aprobada,,api,"frecuencia,blacklist,token"
13/05/2025,08:00:20 a. m.,txn-0020,user76,145.219.114.139,Aprobada,,mobile,"blacklist,frecuencia"
13/05/2025,08:00:21 a. m.,txn-0021,user45,62.241.212.87,Aprobada,,api,frecuencia
